ID        ,Название фильма,Год выпуска,Жанр,Рейтинг,Бюджет (млн $),Сборы (млн $),Режиссер,Основные актеры
1,Космический эпос,2022,Фантастика,7.8,120,500,,"Анна Петрова, Петр Сидоров"
2,Приключения времени,2020,Приключения,8.2,90,450,Мария Смирнова,"Сергей Васильев, Ольга Иванова"
3,Сердце океана,2021,Драма,8.5,60,300,Алексей Попов,"Дмитрий Кузнецов, Ирина Лебедева"
4,Секретные агенты,2019,Боевик,7.6,85,550,Кирилл Соколов,"Елена Романова, Артем Михайлов"
5,Загадка джунглей,2023,Приключения,7.0,,350,Петр Ильин,"Антон Зайцев, Марина Краснова"
6,Городские легенды,2018,Триллер,,40,200,Ольга Петрова,"Игорь Николаев, Екатерина Волкова"
7,Звёздные врата,2023,Научная фантастика,,130,650,,"Наталья Орлова, Антон Краснов"
8,Возвращение героя,2021,Боевик,7.9,95,480,Роман Васильев,"Максим Андреев, Алиса Горшкова"
9,Ночные гонки,2019,Драма,7.3,,270,Елена Козлова,"Алексей Петров, Мария Сергеева"
10,Тайны прошлого,2022,Мистика,7.1,65,310,Дмитрий Иванов,"Светлана Иванова, Денис Смирнов"